Subject,Trial,Condition,RT
9,17,sham,217.25
9,18,sham,202.5
9,19,sham,184
9,20,sham,217.5
9,1,tms,234
9,2,tms,200.75
9,3,tms,200.75
9,4,tms,184.25
9,5,tms,217.5
9,6,tms,184.25
9,7,tms,201
9,8,tms,200.75
9,9,tms,200.75
9,10,tms,200.75
9,11,tms,200.75
9,12,tms,184
9,13,tms,184.25
9,14,tms,167.5
9,15,tms,184
9,16,tms,201
9,17,tms,217.25
9,18,tms,200.75
9,19,tms,200.75
9,20,tms,200.75
9,1,ems,250.75
9,2,ems,200.75
9,3,ems,200.75
9,4,ems,184.25
9,5,ems,200.75
9,6,ems,184
9,7,ems,200.75
9,8,ems,184.25
9,9,ems,184
9,10,ems,184.25
9,11,ems,200.75
9,12,ems,251
9,13,ems,200.75
9,14,ems,184
9,15,ems,217.5
9,16,ems,217.75
9,17,ems,217.5
9,18,ems,200.75
9,19,ems,217.75
9,20,ems,202.5
10,1,sham,184.25
10,2,sham,217.5
10,3,sham,200.75
10,4,sham,200.75
10,5,sham,184.25
10,6,sham,201
10,7,sham,184
10,8,sham,184.25
10,9,sham,167.5
10,10,sham,200.75
10,11,sham,184.5
10,12,sham,167.5
10,13,sham,184
10,14,sham,184.25
10,15,sham,200.75
10,16,sham,167.25
10,17,sham,184
10,18,sham,184
10,19,sham,184.25
10,20,sham,151
10,1,tms,200.75
10,2,tms,184
10,3,tms,184
10,4,tms,184
10,5,tms,186
10,6,tms,184.25
10,7,tms,200.75
10,8,tms,184
10,9,tms,184
10,10,tms,184
10,11,tms,184
10,12,tms,167.25
10,13,tms,184.25
10,14,tms,200.75
10,15,tms,184.25
10,16,tms,169.25
10,17,tms,184.25
10,18,tms,184.25
10,19,tms,184
10,20,tms,201
10,1,ems,185.75
10,2,ems,169
10,3,ems,169
10,4,ems,202.5
10,5,ems,169.25
10,6,ems,169.25
10,7,ems,185.75
10,8,ems,185.75
10,9,ems,169.25
10,10,ems,185.75
10,11,ems,169.25
10,12,ems,185.75
10,13,ems,169
10,14,ems,185.75
10,15,ems,185.75
10,16,ems,169.25
10,17,ems,185.75
10,18,ems,185.75
10,19,ems,169
10,20,ems,193.25
11,1,sham,250.75
11,2,sham,217.5
11,3,sham,217.5
11,4,sham,234.25
11,5,sham,217.5
11,6,sham,217.5
11,7,sham,234
11,8,sham,234.25
11,9,sham,217.75
11,10,sham,217.25
11,11,sham,269.5
11,12,sham,234
11,13,sham,234
11,14,sham,217.75
11,15,sham,217.5
11,16,sham,234.25
11,17,sham,217.25
11,18,sham,267.5
11,19,sham,217.25
11,20,sham,300.75
11,1,tms,234
11,2,tms,234.25
11,3,tms,284.25
11,4,tms,184.25
11,5,tms,234
11,6,tms,200.75
11,7,tms,184.25
11,8,tms,250.75
11,9,tms,200.75
11,10,tms,234.25
11,11,tms,217.5
11,12,tms,250.75
11,13,tms,317.5
11,14,tms,217.5
11,15,tms,234.25
11,16,tms,200.75
11,17,tms,217.75
11,18,tms,234
11,19,tms,217.5
11,20,tms,236
11,1,ems,282.5
11,2,ems,215.75
11,3,ems,232.25
11,4,ems,215.75
11,5,ems,232.5
11,6,ems,215.75
11,7,ems,299
11,8,ems,232.5
11,9,ems,216
11,10,ems,215.75
11,11,ems,232.5
11,12,ems,232.25
11,13,ems,215.75
11,14,ems,215.75
11,15,ems,215.75
11,16,ems,216
11,17,ems,215.75
11,18,ems,232.5
11,19,ems,215.75
11,20,ems,215.75
12,1,sham,200.75
12,2,sham,152.75
12,3,sham,217.5
12,4,sham,167.5
12,5,sham,200.75
12,6,sham,184
12,7,sham,201
12,8,sham,184.25
12,9,sham,200.75
12,10,sham,217.5
12,11,sham,219.5
12,12,sham,200.75
12,13,sham,184.25
12,14,sham,184.25
12,15,sham,200.75
12,16,sham,184.25
12,17,sham,184.25
12,18,sham,184.25
12,19,sham,200.75
12,20,sham,217.5
12,1,tms,184.25
12,2,tms,234.25
12,3,tms,201
12,4,tms,201
12,5,tms,184.25
12,6,tms,201
12,7,tms,167.5
12,8,tms,200.75
12,9,tms,200.75
12,10,tms,184.25
12,11,tms,201
12,12,tms,167.5
12,13,tms,217.5
12,14,tms,167.5
12,15,tms,184.25
12,16,tms,184
12,17,tms,150.75
12,18,tms,184
12,19,tms,200.75
12,20,tms,184
12,1,ems,188.75
12,2,ems,188.75
12,3,ems,222.25
12,4,ems,222
12,5,ems,189
12,6,ems,189
12,7,ems,188.75
12,8,ems,188.75
12,9,ems,189.25
12,10,ems,188.75
12,11,ems,190.5
12,12,ems,205.5
12,13,ems,205.5
12,14,ems,188.75
12,15,ems,205.5
12,16,ems,189
12,17,ems,205.5
12,18,ems,189
12,19,ems,189
12,20,ems,189
