Subject,Trial,Condition,Agency
11,16,sham,5
11,17,sham,5
11,18,sham,5
11,19,sham,4
11,20,sham,5
11,1,tms,4
11,2,tms,3
11,3,tms,4
11,4,tms,4
11,5,tms,5
11,6,tms,4
11,7,tms,5
11,8,tms,5
11,9,tms,5
11,10,tms,4
11,11,tms,5
11,12,tms,5
11,13,tms,4
11,14,tms,4
11,15,tms,5
11,16,tms,5
11,17,tms,5
11,18,tms,4
11,19,tms,5
11,20,tms,5
11,1,ems,3
11,2,ems,4
11,3,ems,4
11,4,ems,3
11,5,ems,4
11,6,ems,3
11,7,ems,4
11,8,ems,4
11,9,ems,5
11,10,ems,4
11,11,ems,4
11,12,ems,4
11,13,ems,3
11,14,ems,6
11,15,ems,3
11,16,ems,4
11,17,ems,5
11,18,ems,4
11,19,ems,4
11,20,ems,3
12,1,sham,3
12,2,sham,5
12,3,sham,5
12,4,sham,7
12,5,sham,5
12,6,sham,5
12,7,sham,6
12,8,sham,7
12,9,sham,5
12,10,sham,4
12,11,sham,6
12,12,sham,6
12,13,sham,5
12,14,sham,7
12,15,sham,6
12,16,sham,6
12,17,sham,5
12,18,sham,5
12,19,sham,4
12,20,sham,4
12,1,tms,4
12,2,tms,6
12,3,tms,4
12,4,tms,4
12,5,tms,4
12,6,tms,5
12,7,tms,5
12,8,tms,5
12,9,tms,5
12,10,tms,5
12,11,tms,5
12,12,tms,5
12,13,tms,4
12,14,tms,4
12,15,tms,5
12,16,tms,4
12,17,tms,4
12,18,tms,3
12,19,tms,6
12,20,tms,3
12,1,ems,2
12,2,ems,2
12,3,ems,2
12,4,ems,2
12,5,ems,2
12,6,ems,2
12,7,ems,2
12,8,ems,2
12,9,ems,2
12,10,ems,2
12,11,ems,2
12,12,ems,1
12,13,ems,1
12,14,ems,4
12,15,ems,3
12,16,ems,2
12,17,ems,4
12,18,ems,2
12,19,ems,4
12,20,ems,3
